Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ETF;74:4D:28:57:A6:58;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;21;0;4;0;0;4;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:42 2025;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ETF Student;76:4D:28:57:A6:58;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;18;0;97;0;0;97;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:48 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;BA:69:F4:9A:77:34;;1;No;WPA,None;No;-1.0;0;0;0;5;0;0;5;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:16 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;DARKSIDE;C4:E9:84:A6:11:E8;;1;No;WPA2,AES-CCM;No;135.0;0;39;0;4;0;0;4;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:49 2025;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;ETF;B8:69:F4:2E:8F:DF;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;21;0;11;0;0;11;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:48 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;ETF Student;BA:69:F4:2E:8F:DF;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;19;0;23;0;0;23;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:48 2025;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Ziroskop 2;8C:53:C3:C6:53:3F;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;20;0;0;0;0;0;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:48 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Daxi;56:FD:71:ED:FC:F6;;1;No;WPA2,AES-CCM;No;65.0;0;8;0;0;0;0;0;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:47 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;SC-LUKAVICA;64:D1:54:A4:36:5F;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;36;0;21;0;0;21;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:49 2025;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Mi vi oni :);78:96:82:54:AA:C8;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;6;0;0;0;0;0;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:37 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Embedded Lab;3C:84:6A:D1:1E:6B;;6;No;WPA2,AES-CCM;No;130.0;0;62;0;10;0;0;10;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:52 2025;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;HP-Print-C7-LaserJet Pro MFP;90:48:9A:CD:0C:C7;;6;No;OPN,None;No;65.0;0;53;0;0;0;0;0;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:52 2025;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;3E:84:6A:E1:1E:6B;;6;No;WPA2,AES-CCM;No;130.0;0;68;0;0;0;0;0;;;Tue May 27 11:28:05 2025;Tue May 27 11:28:52 2025;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;LAB_2.32;00:31:92:80:4F:2B;;2;No;WPA2,AES-CCM;No;130.0;0;11;0;1;0;0;1;;;Tue May 27 11:28:06 2025;Tue May 27 11:28:38 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;ETF EM;EC:08:6B:EA:EA:24;;9;No;WPA2,AES-CCM;No;270.0;0;14;0;0;0;0;0;;;Tue May 27 11:28:08 2025;Tue May 27 11:28:50 2025;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;beacongw_282C0222205C;28:2C:02:22:20:5C;;11;No;WPA2,AES-CCM;No;130.0;0;52;0;0;0;0;0;;;Tue May 27 11:28:08 2025;Tue May 27 11:28:52 2025;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Sarax<<free>>;C0:74:AD:16:3F:15;;11;No;OPN,None;No;720.0;0;21;0;3;0;0;3;;;Tue May 27 11:28:09 2025;Tue May 27 11:28:52 2025;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.50.254;
18;infrastructure;ETF Student;76:4D:28:57:A6:3C;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;21;0;32;0;0;32;;;Tue May 27 11:28:09 2025;Tue May 27 11:28:52 2025;-39;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;ETF;74:4D:28:57:A6:3C;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;20;0;21;0;0;21;;;Tue May 27 11:28:09 2025;Tue May 27 11:28:52 2025;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;M;F4:F6:47:2A:1A:B4;;8;No;OPN,None;No;130.0;0;2;0;0;0;0;0;;;Tue May 27 11:28:33 2025;Tue May 27 11:28:44 2025;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;;B8:69:F4:2E:8F:F5;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue May 27 11:28:47 2025;Tue May 27 11:28:47 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
